Company_Symbol,Year,Total_Board_Meetings_Per_Year,Company_Overall_Attendance,Total_Should_Attend,Company_Overall_Attendance_Percentage
FORTH,2026,N/A,N/A,N/A,N/A
FPI,2021,N/A,N/A,N/A,N/A
FPI,2022,5,62,64,96.88
FPI,2023,N/A,N/A,N/A,N/A
FPI,2024,6,65,65,100.0
FPI,2025,4,47,48,97.92
FPI,2026,N/A,N/A,N/A,N/A
FPT,2021,N/A,N/A,N/A,N/A
FPT,2022,6,55,61,90.16
FPT,2023,7,70,70,100.0
FPT,2024,6,57,57,100.0
FPT,2025,5,48,48,100.0
FPT,2026,N/A,N/A,N/A,N/A
FSMART,2021,N/A,N/A,N/A,N/A
FSMART,2022,7,63,63,100.0
FSMART,2023,7,56,56,100.0
FSMART,2024,7,56,56,100.0
FSMART,2025,7,56,56,100.0
FSMART,2026,N/A,N/A,N/A,N/A
FSX,2021,N/A,N/A,N/A,N/A
FSX,2022,N/A,N/A,N/A,N/A
FSX,2023,7,58,61,95.08
FSX,2024,11,86,91,94.51
FSX,2025,14,117,121,96.69
FSX,2026,N/A,N/A,N/A,N/A
FTE,2021,N/A,N/A,N/A,N/A
FTE,2022,5,35,35,100.0
FTE,2023,4,28,28,100.0
FTE,2024,4,28,28,100.0
FTE,2025,4,28,28,100.0
FTE,2026,N/A,N/A,N/A,N/A
FTI,2021,N/A,N/A,N/A,N/A
FTI,2022,N/A,N/A,N/A,N/A
FTI,2023,6,65,65,100.0
FTI,2024,4,42,44,95.45
FTI,2025,4,44,44,100.0
FTI,2026,N/A,N/A,N/A,N/A
FVC,2021,N/A,N/A,N/A,N/A
FVC,2022,7,62,63,98.41
FVC,2023,5,45,45,100.0
FVC,2024,5,45,45,100.0
FVC,2025,9,81,81,100.0
FVC,2026,N/A,N/A,N/A,N/A
GABLE,2021,N/A,N/A,N/A,N/A
GABLE,2022,9,27,27,100.0
GABLE,2023,9,77,81,95.06
GABLE,2024,9,74,81,91.36
GABLE,2025,6,53,54,98.15
GABLE,2026,N/A,N/A,N/A,N/A
GBX,2021,N/A,N/A,N/A,N/A
GBX,2022,6,28,30,93.33
GBX,2023,6,27,36,75.0
GBX,2024,5,24,25,96.0
GBX,2025,N/A,N/A,N/A,N/A
GBX,2026,N/A,N/A,N/A,N/A
GCAP,2021,N/A,N/A,N/A,N/A
GCAP,2022,7,63,63,100.0
GCAP,2023,9,81,81,100.0
GCAP,2024,8,65,65,100.0
GCAP,2025,7,62,63,98.41
GCAP,2026,N/A,N/A,N/A,N/A
GC,2021,N/A,N/A,N/A,N/A
GC,2022,4,28,28,100.0
GC,2023,4,28,28,100.0
GC,2024,4,28,28,100.0
GC,2025,4,28,28,100.0
GC,2026,N/A,N/A,N/A,N/A
GEL,2021,N/A,N/A,N/A,N/A
GEL,2022,9,70,72,97.22
GEL,2023,9,77,90,85.56
GEL,2024,8,72,80,90.0
GEL,2025,6,51,51,100.0
GEL,2026,N/A,N/A,N/A,N/A
GENCO,2021,N/A,N/A,N/A,N/A
GENCO,2022,5,44,50,88.0
GENCO,2023,7,52,56,92.86
GENCO,2024,9,74,77,96.1
GENCO,2025,10,94,96,97.92
GENCO,2026,N/A,N/A,N/A,N/A
GFC,2021,N/A,N/A,N/A,N/A
GFC,2022,N/A,N/A,N/A,N/A
GFC,2023,7,73,77,94.81
GFC,2024,7,75,77,97.4
GFC,2025,10,107,120,89.17
GFC,2026,N/A,N/A,N/A,N/A
GFPT,2021,N/A,N/A,N/A,N/A
GFPT,2022,9,80,81,98.77
GFPT,2023,9,80,81,98.77
GFPT,2024,9,80,81,98.77
GFPT,2025,9,79,80,98.75
GFPT,2026,N/A,N/A,N/A,N/A
GGC,2021,N/A,N/A,N/A,N/A
GGC,2022,14,149,151,98.68
GGC,2023,15,159,163,97.55
GGC,2024,14,147,153,96.08
GGC,2025,N/A,N/A,N/A,N/A
GGC,2026,N/A,N/A,N/A,N/A
GJS,2021,N/A,N/A,N/A,N/A
GJS,2022,9,77,77,100.0
GJS,2023,N/A,N/A,N/A,N/A
GJS,2024,N/A,N/A,N/A,N/A
GJS,2025,N/A,N/A,N/A,N/A
GJS,2026,N/A,N/A,N/A,N/A
GLAND,2021,N/A,N/A,N/A,N/A
GLAND,2022,4,35,36,97.22
GLAND,2023,4,35,36,97.22
GLAND,2024,4,34,34,100.0
GLAND,2025,4,32,33,96.97
GLAND,2026,N/A,N/A,N/A,N/A
GLOBAL,2021,N/A,N/A,N/A,N/A
GLOBAL,2022,6,59,60,98.33
GLOBAL,2023,6,59,60,98.33
GLOBAL,2024,6,59,60,98.33
GLOBAL,2025,6,60,60,100.0
GLOBAL,2026,N/A,N/A,N/A,N/A
GLORY,2021,N/A,N/A,N/A,N/A
GLORY,2022,6,48,48,100.0
GLORY,2023,6,47,48,97.92
GLORY,2024,4,32,32,100.0
GLORY,2025,N/A,N/A,N/A,N/A
GLORY,2026,N/A,N/A,N/A,N/A
GPI,2021,N/A,N/A,N/A,N/A
GPI,2022,5,45,45,100.0
GPI,2023,5,45,45,100.0
GPI,2024,7,63,63,100.0
GPI,2025,N/A,N/A,N/A,N/A
GPI,2026,N/A,N/A,N/A,N/A
GPSC,2021,N/A,N/A,N/A,N/A
GPSC,2022,16,217,226,96.02
GPSC,2023,14,190,192,98.96
GPSC,2024,14,189,195,96.92
GPSC,2025,16,230,232,99.14
GPSC,2026,N/A,N/A,N/A,N/A
GRAMMY,2021,N/A,N/A,N/A,N/A
GRAMMY,2022,4,36,36,100.0
GRAMMY,2023,6,54,54,100.0
GRAMMY,2024,10,89,90,98.89
GRAMMY,2025,7,58,62,93.55
GRAMMY,2026,N/A,N/A,N/A,N/A
GRAND,2021,N/A,N/A,N/A,N/A
GRAND,2022,5,50,60,83.33
GRAND,2023,N/A,N/A,N/A,N/A
GRAND,2024,N/A,N/A,N/A,N/A
GRAND,2025,N/A,N/A,N/A,N/A
GRAND,2026,N/A,N/A,N/A,N/A
GREEN,2021,N/A,N/A,N/A,N/A
GREEN,2022,4,36,36,100.0
GREEN,2023,4,36,36,100.0
GREEN,2024,4,19,21,90.48
GREEN,2025,N/A,N/A,N/A,N/A
GREEN,2026,N/A,N/A,N/A,N/A
GSTEEL,2021,N/A,N/A,N/A,N/A
GSTEEL,2022,10,85,86,98.84
GSTEEL,2023,N/A,N/A,N/A,N/A
GSTEEL,2024,N/A,N/A,N/A,N/A
GSTEEL,2025,N/A,N/A,N/A,N/A
GSTEEL,2026,N/A,N/A,N/A,N/A
GTB,2021,N/A,N/A,N/A,N/A
GTB,2022,9,61,63,96.83
GTB,2023,8,54,56,96.43
GTB,2024,7,48,49,97.96
GTB,2025,8,55,56,98.21
GTB,2026,N/A,N/A,N/A,N/A
GTV,2021,N/A,N/A,N/A,N/A
GTV,2022,7,40,40,100.0
GTV,2023,5,58,58,100.0
GTV,2024,14,89,98,90.82
GTV,2025,7,45,47,95.74
GTV,2026,N/A,N/A,N/A,N/A
GUNKUL,2021,N/A,N/A,N/A,N/A
GUNKUL,2022,11,117,117,100.0
GUNKUL,2023,9,93,93,100.0
GUNKUL,2024,6,71,71,100.0
GUNKUL,2025,8,89,89,100.0
GUNKUL,2026,N/A,N/A,N/A,N/A
GYT,2021,N/A,N/A,N/A,N/A
GYT,2022,6,52,54,96.3
GYT,2023,6,51,53,96.23
GYT,2024,4,30,31,96.77
GYT,2025,N/A,N/A,N/A,N/A
GYT,2026,N/A,N/A,N/A,N/A
HANA,2021,N/A,N/A,N/A,N/A
HANA,2022,6,44,44,100.0
HANA,2023,6,48,48,100.0
HANA,2024,7,56,56,100.0
HANA,2025,6,48,48,100.0
HANA,2026,N/A,N/A,N/A,N/A
HARN,2021,N/A,N/A,N/A,N/A
HARN,2022,6,43,44,97.73
HARN,2023,6,48,48,100.0
HARN,2024,6,48,48,100.0
HARN,2025,6,46,47,97.87
HARN,2026,N/A,N/A,N/A,N/A
HEALTH,2021,N/A,N/A,N/A,N/A
HEALTH,2022,10,89,90,98.89
HEALTH,2023,6,53,54,98.15
HEALTH,2024,13,99,130,76.15
HEALTH,2025,11,76,77,98.7
HEALTH,2026,N/A,N/A,N/A,N/A
HENG,2021,N/A,N/A,N/A,N/A
HENG,2022,7,84,84,100.0
HENG,2023,7,84,84,100.0
HENG,2024,7,83,84,98.81
HENG,2025,7,83,84,98.81
HENG,2026,N/A,N/A,N/A,N/A
HFT,2021,N/A,N/A,N/A,N/A
HFT,2022,5,50,55,90.91
HFT,2023,N/A,N/A,N/A,N/A
HFT,2024,4,41,52,78.85
HFT,2025,N/A,N/A,N/A,N/A
HFT,2026,N/A,N/A,N/A,N/A
HL,2021,N/A,N/A,N/A,N/A
HL,2022,4,28,28,100.0
HL,2023,4,28,28,100.0
HL,2024,4,28,28,100.0
HL,2025,N/A,N/A,N/A,N/A
HL,2026,N/A,N/A,N/A,N/A
HMPRO,2021,N/A,N/A,N/A,N/A
HMPRO,2022,12,138,141,97.87
HMPRO,2023,12,127,135,94.07
HMPRO,2024,12,127,132,96.21
HMPRO,2025,12,129,132,97.73
HMPRO,2026,N/A,N/A,N/A,N/A
HPT,2021,N/A,N/A,N/A,N/A
HPT,2022,N/A,N/A,N/A,N/A
HPT,2023,6,42,42,100.0
HPT,2024,7,44,49,89.8
HPT,2025,N/A,N/A,N/A,N/A
HPT,2026,N/A,N/A,N/A,N/A
HTC,2021,N/A,N/A,N/A,N/A
HTC,2022,7,86,90,95.56
HTC,2023,6,78,84,92.86
HTC,2024,6,79,84,94.05
HTC,2025,6,82,84,97.62
HTC,2026,N/A,N/A,N/A,N/A
HTECH,2021,N/A,N/A,N/A,N/A
HTECH,2022,5,30,30,100.0
HTECH,2023,4,24,24,100.0
HTECH,2024,4,24,24,100.0
HTECH,2025,6,35,36,97.22
HTECH,2026,N/A,N/A,N/A,N/A
HUMAN,2021,N/A,N/A,N/A,N/A
HUMAN,2022,6,38,38,100.0
HUMAN,2023,4,28,28,100.0
HUMAN,2024,4,28,28,100.0
HUMAN,2025,N/A,N/A,N/A,N/A
HUMAN,2026,N/A,N/A,N/A,N/A
HYDRO,2021,N/A,N/A,N/A,N/A
HYDRO,2022,12,80,84,95.24
HYDRO,2023,13,86,91,94.51
HYDRO,2024,11,73,88,82.95
HYDRO,2025,13,61,182,33.52
HYDRO,2026,N/A,N/A,N/A,N/A
I2,2021,N/A,N/A,N/A,N/A
I2,2022,N/A,N/A,N/A,N/A
I2,2023,7,49,49,100.0
I2,2024,5,34,35,97.14
I2,2025,7,49,56,87.5
I2,2026,N/A,N/A,N/A,N/A
ICC,2021,N/A,N/A,N/A,N/A
ICC,2022,14,166,168,98.81
ICC,2023,14,152,154,98.7
ICC,2024,13,145,155,93.55
ICC,2025,13,155,156,99.36
ICC,2026,N/A,N/A,N/A,N/A
ICHI,2021,N/A,N/A,N/A,N/A
ICHI,2022,7,60,60,100.0
ICHI,2023,6,48,48,100.0
ICHI,2024,7,55,56,98.21
ICHI,2025,7,56,56,100.0
ICHI,2026,N/A,N/A,N/A,N/A
ICN,2021,N/A,N/A,N/A,N/A
ICN,2022,5,38,45,84.44
ICN,2023,5,35,35,100.0
ICN,2024,6,42,42,100.0
ICN,2025,5,32,35,91.43
ICN,2026,N/A,N/A,N/A,N/A
IFS,2021,N/A,N/A,N/A,N/A
IFS,2022,4,24,24,100.0
IFS,2023,4,24,24,100.0
IFS,2024,5,30,30,100.0
IFS,2025,5,30,30,100.0
IFS,2026,N/A,N/A,N/A,N/A
IHL,2021,5,44,45,97.78
IHL,2022,7,56,56,100.0
IHL,2023,N/A,N/A,N/A,N/A
IHL,2024,5,43,50,86.0
IHL,2025,5,43,45,95.56
IHL,2026,N/A,N/A,N/A,N/A
IIG,2021,N/A,N/A,N/A,N/A
IIG,2022,4,22,22,100.0
IIG,2023,N/A,N/A,N/A,N/A
IIG,2024,11,96,99,96.97
IIG,2025,8,64,64,100.0
IIG,2026,N/A,N/A,N/A,N/A
III,2021,N/A,N/A,N/A,N/A
III,2022,8,79,80,98.75
III,2023,7,70,70,100.0
III,2024,6,60,60,100.0
III,2025,8,80,80,100.0
III,2026,N/A,N/A,N/A,N/A
ILINK,2021,N/A,N/A,N/A,N/A
ILINK,2022,7,74,75,98.67
ILINK,2023,7,56,56,100.0
ILINK,2024,7,84,84,100.0
ILINK,2025,6,71,72,98.61
ILINK,2026,N/A,N/A,N/A,N/A
ILM,2021,N/A,N/A,N/A,N/A
ILM,2022,5,50,54,92.59
ILM,2023,6,63,66,95.45
ILM,2024,5,53,55,96.36
ILM,2025,6,66,66,100.0
ILM,2026,N/A,N/A,N/A,N/A
IMH,2021,N/A,N/A,N/A,N/A
IMH,2022,5,30,30,100.0
IMH,2023,6,42,42,100.0
IMH,2024,4,32,32,100.0
IMH,2025,5,39,40,97.5
IMH,2026,N/A,N/A,N/A,N/A
IMPACT,2021,N/A,N/A,N/A,N/A
IMPACT,2022,N/A,N/A,N/A,N/A
IMPACT,2023,N/A,N/A,N/A,N/A
IMPACT,2024,8,24,24,100.0
IMPACT,2025,8,32,32,100.0
IMPACT,2026,N/A,N/A,N/A,N/A
IND,2021,N/A,N/A,N/A,N/A
IND,2022,8,75,75,100.0
IND,2023,8,72,72,100.0
IND,2024,8,72,72,100.0
IND,2025,4,54,54,100.0
IND,2026,N/A,N/A,N/A,N/A
INET,2021,N/A,N/A,N/A,N/A
INET,2022,11,123,128,96.09
INET,2023,11,125,132,94.7
INET,2024,10,109,118,92.37
INET,2025,9,111,113,98.23
INET,2026,N/A,N/A,N/A,N/A
INGRS,2021,N/A,N/A,N/A,N/A
INGRS,2022,N/A,N/A,N/A,N/A
INGRS,2023,6,54,54,100.0
INGRS,2024,6,52,54,96.3
INGRS,2025,N/A,N/A,N/A,N/A
INGRS,2026,N/A,N/A,N/A,N/A
INOX,2021,N/A,N/A,N/A,N/A
INOX,2022,7,52,62,83.87
INOX,2023,5,44,45,97.78
INOX,2024,5,40,44,90.91
INOX,2025,6,45,50,90.0
INOX,2026,N/A,N/A,N/A,N/A
INSET,2021,N/A,N/A,N/A,N/A
INSET,2022,4,31,32,96.88
INSET,2023,6,48,48,100.0
INSET,2024,6,56,56,100.0
INSET,2025,6,59,60,98.33
INSET,2026,N/A,N/A,N/A,N/A
INSURE,2021,N/A,N/A,N/A,N/A
INSURE,2022,N/A,N/A,N/A,N/A
INSURE,2023,13,107,112,95.54
INSURE,2024,13,104,110,94.55
INSURE,2025,10,87,90,96.67
INSURE,2026,N/A,N/A,N/A,N/A
IP,2021,N/A,N/A,N/A,N/A
IP,2022,10,84,84,100.0
IP,2023,7,64,65,98.46
IP,2024,6,54,54,100.0
IP,2025,6,54,54,100.0
IP,2026,N/A,N/A,N/A,N/A
IRCP,2021,N/A,N/A,N/A,N/A
IRCP,2022,6,46,47,97.87
IRCP,2023,6,52,54,96.3
IRCP,2024,7,59,69,85.51
IRCP,2025,6,54,54,100.0
IRCP,2026,N/A,N/A,N/A,N/A
IRC,2021,N/A,N/A,N/A,N/A
IRC,2022,N/A,N/A,N/A,N/A
IRC,2023,7,65,73,89.04
IRC,2024,7,71,78,91.03
IRC,2025,5,67,75,89.33
IRC,2026,N/A,N/A,N/A,N/A
ITC,2021,N/A,N/A,N/A,N/A
ITC,2022,9,90,94,95.74
ITC,2023,5,52,55,94.55
ITC,2024,9,95,98,96.94
ITC,2025,6,66,66,100.0
ITC,2026,N/A,N/A,N/A,N/A
ITD,2021,N/A,N/A,N/A,N/A
ITD,2022,5,40,45,88.89
ITD,2023,6,50,54,92.59
ITD,2024,11,95,99,95.96
ITD,2025,N/A,N/A,N/A,N/A
ITD,2026,N/A,N/A,N/A,N/A
ITEL,2021,N/A,N/A,N/A,N/A
ITEL,2022,8,88,88,100.0
ITEL,2023,7,75,76,98.68
ITEL,2024,8,86,87,98.85
ITEL,2025,8,85,85,100.0
ITEL,2026,N/A,N/A,N/A,N/A
ITNS,2021,N/A,N/A,N/A,N/A
ITNS,2022,7,42,42,100.0
ITNS,2023,5,30,30,100.0
ITNS,2024,5,30,30,100.0
ITNS,2025,5,32,32,100.0
ITNS,2026,N/A,N/A,N/A,N/A
ITTHI,2021,N/A,N/A,N/A,N/A
ITTHI,2022,4,35,36,97.22
ITTHI,2023,4,9,9,100.0
ITTHI,2024,4,36,36,100.0
ITTHI,2025,6,46,54,85.19
ITTHI,2026,N/A,N/A,N/A,N/A
IT,2021,N/A,N/A,N/A,N/A
IT,2022,5,54,60,90.0
IT,2023,5,53,55,96.36
IT,2024,5,55,55,100.0
IT,2025,N/A,N/A,N/A,N/A
IT,2026,N/A,N/A,N/A,N/A
IVL,2021,N/A,N/A,N/A,N/A
IVL,2022,5,76,77,98.7
IVL,2023,5,65,66,98.48
IVL,2024,5,58,60,96.67
IVL,2025,5,56,60,93.33
IVL,2026,N/A,N/A,N/A,N/A
JAK,2021,N/A,N/A,N/A,N/A
JAK,2022,5,38,41,92.68
JAK,2023,4,33,36,91.67
JAK,2024,4,35,36,97.22
JAK,2025,4,35,36,97.22
JAK,2026,N/A,N/A,N/A,N/A
JAS,2021,N/A,N/A,N/A,N/A
JAS,2022,9,80,81,98.77
JAS,2023,10,81,130,62.31
JAS,2024,17,119,121,98.35
JAS,2025,14,110,110,100.0
JAS,2026,N/A,N/A,N/A,N/A
JCK,2021,N/A,N/A,N/A,N/A
JCK,2022,N/A,N/A,N/A,N/A
JCK,2023,12,92,93,98.92
JCK,2024,13,114,116,98.28
JCK,2025,10,90,90,100.0
JCK,2026,N/A,N/A,N/A,N/A
JCT,2021,N/A,N/A,N/A,N/A
JCT,2022,6,47,48,97.92
JCT,2023,N/A,N/A,N/A,N/A
JCT,2024,N/A,N/A,N/A,N/A
JCT,2025,N/A,N/A,N/A,N/A
JCT,2026,N/A,N/A,N/A,N/A
JDF,2021,N/A,N/A,N/A,N/A
JDF,2022,7,73,73,100.0
JDF,2023,6,50,52,96.15
JDF,2024,6,52,54,96.3
JDF,2025,6,58,58,100.0
JDF,2026,N/A,N/A,N/A,N/A
JMART,2021,N/A,N/A,N/A,N/A
JMART,2022,11,88,88,100.0
JMART,2023,10,79,80,98.75
JMART,2024,6,48,48,100.0
JMART,2025,7,55,55,100.0
JMART,2026,N/A,N/A,N/A,N/A
JMT,2021,N/A,N/A,N/A,N/A
JMT,2022,7,49,49,100.0
JMT,2023,9,62,63,98.41
JMT,2024,5,35,35,100.0
JMT,2025,8,55,56,98.21
JMT,2026,N/A,N/A,N/A,N/A
JPARK,2021,N/A,N/A,N/A,N/A
JPARK,2022,N/A,N/A,N/A,N/A
JPARK,2023,6,48,48,100.0
JPARK,2024,5,39,40,97.5
JPARK,2025,N/A,N/A,N/A,N/A
JPARK,2026,N/A,N/A,N/A,N/A
JR,2021,N/A,N/A,N/A,N/A
JR,2022,5,35,35,100.0
JR,2023,5,35,35,100.0
JR,2024,5,35,35,100.0
JR,2025,5,35,35,100.0
JR,2026,N/A,N/A,N/A,N/A
JSP,2021,N/A,N/A,N/A,N/A
JSP,2022,8,88,88,100.0
JSP,2023,11,121,121,100.0
JSP,2024,9,97,99,97.98
JSP,2025,10,98,110,89.09
JSP,2026,N/A,N/A,N/A,N/A
JTS,2021,N/A,N/A,N/A,N/A
JTS,2022,6,53,54,98.15
JTS,2023,9,77,90,85.56
JTS,2024,8,55,56,98.21
JTS,2025,8,55,56,98.21
JTS,2026,N/A,N/A,N/A,N/A
JUBILE,2021,N/A,N/A,N/A,N/A
JUBILE,2022,4,35,36,97.22
JUBILE,2023,4,36,36,100.0
JUBILE,2024,4,32,36,88.89
JUBILE,2025,4,28,28,100.0
JUBILE,2026,N/A,N/A,N/A,N/A
J,2021,N/A,N/A,N/A,N/A
J,2022,8,55,56,98.21
J,2023,7,48,49,97.96
J,2024,6,42,42,100.0
J,2025,8,56,56,100.0
J,2026,N/A,N/A,N/A,N/A
KAMART,2021,N/A,N/A,N/A,N/A
KAMART,2022,5,36,45,80.0
KAMART,2023,6,51,55,92.73
KAMART,2024,5,50,50,100.0
KAMART,2025,6,60,60,100.0
KAMART,2026,N/A,N/A,N/A,N/A
KASET,2021,N/A,N/A,N/A,N/A
KASET,2022,N/A,N/A,N/A,N/A
KASET,2023,8,56,64,87.5
KASET,2024,5,35,35,100.0
KASET,2025,6,42,42,100.0
KASET,2026,N/A,N/A,N/A,N/A
KBANK,2021,N/A,N/A,N/A,N/A
KBANK,2022,12,207,216,95.83
KBANK,2023,12,210,214,98.13
KBANK,2024,12,170,173,98.27
KBANK,2025,15,202,211,95.73
KBANK,2026,N/A,N/A,N/A,N/A
KBS,2021,N/A,N/A,N/A,N/A
KBS,2022,4,36,36,100.0
KBS,2023,4,35,36,97.22
KBS,2024,4,34,36,94.44
KBS,2025,4,32,32,100.0
KBS,2026,N/A,N/A,N/A,N/A
KCAR,2021,N/A,N/A,N/A,N/A
KCAR,2022,12,51,51,100.0
KCAR,2023,12,51,51,100.0
KCAR,2024,12,51,51,100.0
KCAR,2025,6,19,19,100.0
KCAR,2026,N/A,N/A,N/A,N/A
KCE,2021,N/A,N/A,N/A,N/A
KCE,2022,12,107,108,99.07
KCE,2023,12,101,107,94.39
KCE,2024,13,112,117,95.73
KCE,2025,14,123,126,97.62
KCE,2026,N/A,N/A,N/A,N/A
KCG,2021,N/A,N/A,N/A,N/A
KCG,2022,N/A,N/A,N/A,N/A
KCG,2023,9,108,108,100.0
KCG,2024,10,119,120,99.17
KCG,2025,10,120,120,100.0
KCG,2026,N/A,N/A,N/A,N/A
KCM,2021,N/A,N/A,N/A,N/A
KCM,2022,5,45,45,100.0
KCM,2023,4,36,36,100.0
KCM,2024,4,36,36,100.0
KCM,2025,N/A,N/A,N/A,N/A
KCM,2026,N/A,N/A,N/A,N/A
KC,2021,N/A,N/A,N/A,N/A
KC,2022,20,155,340,45.59
KC,2023,N/A,N/A,N/A,N/A
KC,2024,18,74,162,45.68
KC,2025,N/A,N/A,N/A,N/A
KC,2026,N/A,N/A,N/A,N/A
KDH,2021,N/A,N/A,N/A,N/A
KDH,2022,7,42,42,100.0
KDH,2023,7,41,42,97.62
KDH,2024,7,36,36,100.0
KDH,2025,N/A,N/A,N/A,N/A
KDH,2026,N/A,N/A,N/A,N/A
KGEN,2021,N/A,N/A,N/A,N/A
KGEN,2022,N/A,N/A,N/A,N/A
KGEN,2023,10,89,89,100.0
KGEN,2024,15,134,135,99.26
KGEN,2025,8,72,72,100.0
KGEN,2026,N/A,N/A,N/A,N/A
KGI,2021,N/A,N/A,N/A,N/A
KGI,2022,7,61,70,87.14
KGI,2023,6,54,54,100.0
KGI,2024,6,54,54,100.0
KGI,2025,6,54,54,100.0
KGI,2026,N/A,N/A,N/A,N/A
KIAT,2021,N/A,N/A,N/A,N/A
KIAT,2022,N/A,N/A,N/A,N/A
KIAT,2023,4,33,36,91.67
KIAT,2024,N/A,N/A,N/A,N/A
KIAT,2025,N/A,N/A,N/A,N/A
KIAT,2026,N/A,N/A,N/A,N/A
KISS,2021,N/A,N/A,N/A,N/A
KISS,2022,7,62,63,98.41
KISS,2023,4,36,36,100.0
KISS,2024,8,60,64,93.75
KISS,2025,6,52,54,96.3
KISS,2026,N/A,N/A,N/A,N/A
KJL,2021,N/A,N/A,N/A,N/A
KJL,2022,12,66,72,91.67
KJL,2023,5,45,45,100.0
KJL,2024,6,54,54,100.0
KJL,2025,6,54,54,100.0
KJL,2026,N/A,N/A,N/A,N/A
KKC,2021,N/A,N/A,N/A,N/A
KKC,2022,6,63,66,95.45
KKC,2023,8,80,87,91.95
KKC,2024,7,54,70,77.14
KKC,2025,N/A,N/A,N/A,N/A
KKC,2026,N/A,N/A,N/A,N/A
KKP,2021,N/A,N/A,N/A,N/A
KKP,2022,N/A,N/A,N/A,N/A
KKP,2023,N/A,N/A,N/A,N/A
KKP,2024,12,141,144,97.92
KKP,2025,11,130,132,98.48
KKP,2026,N/A,N/A,N/A,N/A
KK,2021,N/A,N/A,N/A,N/A
KK,2022,N/A,N/A,N/A,N/A
KK,2023,4,32,36,88.89
KK,2024,6,44,48,91.67
KK,2025,N/A,N/A,N/A,N/A
KK,2026,N/A,N/A,N/A,N/A
KLINIQ,2021,N/A,N/A,N/A,N/A
KLINIQ,2022,9,60,61,98.36
KLINIQ,2023,4,28,29,96.55
KLINIQ,2024,4,26,26,100.0
KLINIQ,2025,N/A,N/A,N/A,N/A
KLINIQ,2026,N/A,N/A,N/A,N/A
KOOL,2021,N/A,N/A,N/A,N/A
KOOL,2022,12,87,96,90.62
KOOL,2023,N/A,N/A,N/A,N/A
KOOL,2024,8,56,56,100.0
KOOL,2025,5,36,39,92.31
KOOL,2026,N/A,N/A,N/A,N/A
KSL,2021,N/A,N/A,N/A,N/A
KSL,2022,8,154,160,96.25
KSL,2023,7,132,140,94.29
KSL,2024,7,132,140,94.29
KSL,2025,7,131,137,95.62
KSL,2026,N/A,N/A,N/A,N/A
KTB,2021,N/A,N/A,N/A,N/A
KTB,2022,760,672,713,94.25
KTB,2023,25,273,281,97.15
KTB,2024,23,264,274,96.35
KTB,2025,26,302,312,96.79
KTB,2026,N/A,N/A,N/A,N/A
KTC,2021,N/A,N/A,N/A,N/A
KTC,2022,15,118,120,98.33
KTC,2023,16,117,119,98.32
KTC,2024,16,126,128,98.44
KTC,2025,15,118,120,98.33
KTC,2026,N/A,N/A,N/A,N/A
KTIS,2021,N/A,N/A,N/A,N/A
KTIS,2022,4,58,60,96.67
KTIS,2023,4,60,60,100.0
KTIS,2024,4,57,60,95.0
KTIS,2025,4,60,60,100.0
KTIS,2026,N/A,N/A,N/A,N/A
KTMS,2021,N/A,N/A,N/A,N/A
KTMS,2022,6,54,54,100.0
KTMS,2023,5,45,45,100.0
KTMS,2024,5,45,45,100.0
KTMS,2025,5,45,45,100.0
KTMS,2026,N/A,N/A,N/A,N/A
KUMWEL,2021,N/A,N/A,N/A,N/A
KUMWEL,2022,9,79,81,97.53
KUMWEL,2023,5,46,48,95.83
KUMWEL,2024,6,54,54,100.0
KUMWEL,2025,6,54,54,100.0
KUMWEL,2026,N/A,N/A,N/A,N/A
KUN,2021,N/A,N/A,N/A,N/A
KUN,2022,N/A,N/A,N/A,N/A
KUN,2023,N/A,N/A,N/A,N/A
KUN,2024,11,82,96,85.42
KUN,2025,9,77,81,95.06
KUN,2026,N/A,N/A,N/A,N/A
KWC,2021,N/A,N/A,N/A,N/A
KWC,2022,10,81,110,73.64
KWC,2023,10,77,120,64.17
KWC,2024,9,75,83,90.36
KWC,2025,N/A,N/A,N/A,N/A
KWC,2026,N/A,N/A,N/A,N/A
KWI,2021,N/A,N/A,N/A,N/A
KWI,2022,7,43,70,61.43
KWI,2023,9,58,70,82.86
KWI,2024,N/A,N/A,N/A,N/A
KWI,2025,N/A,N/A,N/A,N/A
KWI,2026,N/A,N/A,N/A,N/A
KWM,2021,N/A,N/A,N/A,N/A
KWM,2022,4,28,28,100.0
KWM,2023,4,28,28,100.0
KWM,2024,4,28,28,100.0
KWM,2025,5,35,35,100.0
KWM,2026,N/A,N/A,N/A,N/A
KYE,2021,N/A,N/A,N/A,N/A
KYE,2022,N/A,N/A,N/A,N/A
KYE,2023,6,78,84,92.86
KYE,2024,6,77,84,91.67
KYE,2025,N/A,N/A,N/A,N/A
KYE,2026,N/A,N/A,N/A,N/A
K,2021,N/A,N/A,N/A,N/A
K,2022,7,52,53,98.11
K,2023,7,53,56,94.64
K,2024,6,48,48,100.0
K,2025,8,64,64,100.0
K,2026,N/A,N/A,N/A,N/A
LALIN,2021,N/A,N/A,N/A,N/A
LALIN,2022,N/A,N/A,N/A,N/A
LALIN,2023,N/A,N/A,N/A,N/A
LALIN,2024,5,40,40,100.0
LALIN,2025,N/A,N/A,N/A,N/A
LALIN,2026,N/A,N/A,N/A,N/A
